GENE_SYMBOL	ID_REF	GSM32828	GSM32829
Gal	100407_at	823.5	690
Pole3	100408_at	1703.2	809.4
Cdh3	100409_at	325.1	228.6
Larp7	100410_at	408.7	570.9
Aebp1	100411_at	56.9	66.5
Aebp1	100412_g_at	7153	5584.5
Ylpm1	100413_at	800.4	734.2
Mpo	100414_s_at	35.1	38.3
Mpo	100415_at	30.2	72.8
Melk	100416_at	81.8	69.8
Slc7a6	100417_at	707.1	744.1
Gng2	100418_at	213.2	92.3
Krt4	100421_at	283.8	244.1
Stat5a	100422_i_at	1335.8	1429.4
Stat5a	100423_f_at	753.9	854.2
Ercc1	100424_at	324.4	457.4
Sykb	100425_at	1000	1439.6
Lamc2	100428_at	860.6	450.1
Ppox	100429_at	267.7	430.2
Lepr	100431_at	39.3	23.6
Mdfi	100432_f_at	944.8	1057.9
Mdfi	100433_r_at	642.5	339
Lpar1	100435_at	1023.1	1852.3
Orm1	100436_at	5173.7	2925.9
Gpr19	100438_at	196.3	329.2
Ank1	100439_i_at	614.9	545.2
Ank1	100440_f_at	498.7	359.8
Bcat2	100443_at	221.7	371.1
Cdk5	100444_at	1915.7	1644.8
Sprr1b	100445_f_at	398.7	103.4
Sprr1b	100446_r_at	8677.4	10269.6
Hyal2	100447_at	835.2	809.6
Acvrl1	100448_at	282.5	102.7
Acvrl1	100449_g_at	118.8	62.9
Acvrl1	100450_r_at	175.7	59.4
Hsf1	100451_at	551.5	874.8
Klf1	100452_at	1896.3	1641.9
Glg1	100457_at	5518.2	4756.5
Napb	100458_at	113.3	88.5
Rad50	100459_at	1031.7	1012.6
Ctr9	100460_at	970.1	697.1
Polr2j	100461_at	2674.6	3051.8
Arf6	100462_at	391.4	388.7
3110043O21Rik	100464_at	1291	1039.2
Gm1673	100466_f_at	1522.4	862.9
Nfya	100469_at	700.4	1049.5
Mapk10	100470_at	313.7	425.2
Enah	100472_at	1923.4	1537.6
Arrb1	100473_at	438.3	721.9
Trim25	100475_at	1501.6	769.5
Dnmt3a	100479_at	68.8	40.7
