GENE_SYMBOL	ID_REF	GSM32828	GSM32829
Ptk2b	103451_at	730.2	594.9
Exoc8	103455_at	214.2	216.4
Ece1	103456_at	848.7	865
Rev3l	103457_at	735	863.3
Slc39a6	103459_at	1195.2	879.2
Ddit4	103460_at	6260	5117.5
Cyhr1	103466_at	856.4	737.3
Cyhr1	103467_g_at	1625.8	1645.5
Mns1	103468_at	379.4	876.7
Elovl3	103469_at	21.9	19
Tbc1d15	103471_at	1410.2	1238.4
Pak4	103473_at	212.7	246.1
Ate1	103475_s_at	475.7	158.7
Ficd	103476_at	33	361.1
Zfp787	103478_at	229.2	184.8
Samd10	103479_at	1923.8	1627.5
Cd4	103480_at	329.7	186.6
Zfp808	103481_at	341.7	507.7
Ercc5	103483_at	518.2	589.4
Nynrin	103485_at	33.6	14.5
Selplg	103488_at	280.3	109.9
Nav1	103491_at	213.3	185
Ftsjd1	103497_at	411	372.2
Gcgr	103498_at	490.3	616.9
Acvr2a	103500_at	306.1	287.5
Pura	103501_at	1123.8	1869.9
Ssbp2	103504_at	2954.8	2850.6
Pcgf5	103508_at	204.9	201.4
Tnfrsf9	103509_at	1636.5	547
Slc6a12	103510_at	256.7	144.8
Tspo2	103512_at	36.2	434.4
Cant1	103515_at	1821.1	1169
Celsr1	103516_at	89.7	59.8
Ctla2b	103518_at	396.3	953.5
Ces1g	103519_at	247.7	829
Vegfa	103520_at	3691.7	797.2
Mpp7	103521_r_at	663.6	1028.5
Sgcd	103522_at	150.7	222.4
Leng8	103523_at	286	82.5
Cdan1	103524_at	720.1	574.9
Hnrpll	103525_at	2697	2614.8
Padi2	103526_at	467	386.9
Slc35e4	103527_at	1841.5	1396.9
Tnfaip8l1	103529_at	304.9	558.3
Fancg	103530_at	277.3	311.3
Ero1lb	103531_f_at	280.2	356.3
LOC100503273	103535_at	158.4	19.5
Tmeff2	103536_at	746.3	608.4
Eif2ak3	103537_at	257.1	168
Tbx3	103538_at	232.7	123.9
1810021B22Rik	103540_at	15.3	61.2
Tcte2	103541_at	302.6	295.4
Tnks1bp1	103542_at	1533.4	2089.6
2610019E17Rik	103545_at	202.4	152
Fosl2	103546_at	431	218.1
Slc41a1	103547_at	911.1	590
Nes	103549_at	195.3	264.9
Ednrb	103550_at	10.1	48.7
Plekha5	103551_at	691.6	698
Rabep1	103552_at	795.4	508.4
Mcm10	103553_at	371.3	451
Chmp4b	103555_at	12368.1	10035.7
Angptl2	103556_at	15068.8	13403.6
Vps37c	103557_at	1254.4	1606
Krt31	103558_at	63.6	54.1
Prkaca	103559_at	1984.8	1057.2
Lysmd2	103560_at	58.5	61.5
Rnf19b	103563_at	860	551.7
Uvrag	103564_at	1218.8	833.8
1810009A15Rik	103565_at	3683.1	4743.9
Fryl	103567_at	867.8	784.2
Sh3glb1	103569_at	732.9	975
Lst1	103571_at	74.1	131.6
Pip5k1b	103573_at	53.9	171.9
Ablim1	103574_at	336.7	422.5
Nefl	103575_at	26.6	13.7
Tom1	103578_at	751.7	610.2
Rac2	103579_at	1009.9	385
BC013529	103580_at	216.6	150
Acot1	103581_at	929.3	688.1
Ube2w	103582_r_at	732.3	418
4933407C03Rik	103584_at	3564.2	2219.6
Spast	103585_at	164.5	332.7
Adam15	103588_at	650.1	698.1
Krt16	103589_at	149.1	213.3
Ggcx	103590_at	196.5	142.5
Taf6	103591_at	229.3	394.2
Map2k5	103592_at	1110.7	1209.5
Nppa	103593_at	960	618.8
Zfp524	103595_at	232.7	378
Dgka	103596_at	413.1	225.8
Dct	103597_at	205.8	478
Dhx9	103598_at	2078.9	1345.1
Mdm1	103599_at	46.5	26.1
Ptrh1	103601_at	277.7	320.8
Eftud1	103603_at	90.6	8.6
Rgs19	103605_g_at	891	1218.3
Rgs19	103606_r_at	3136.9	4216.2
Gpx7	103607_at	189.2	25.8
Fars2	103608_at	713.3	734.3
Pde4b	103610_at	507.9	285.7
Cd47	103611_at	4214	4573.2
Nfkb2	103614_at	492.8	731.2
Pyhin1	103615_at	7.4	257.6
Cyb5b	103619_at	6471.5	4974.5
Smn1	103620_s_at	1247.8	1157.8
Mlycd	103622_at	499.7	429.3
Urm1	103624_at	858.5	807
Afg3l1	103625_at	1935.8	2148.5
Lef1	103628_at	360.4	383.9
Lars	103630_at	2029.9	2150.2
Zfp688	103631_at	572.9	465.7
Irf9	103634_at	1427	255.4
Tgds	103635_at	465.8	490.6
Pnkd	103636_at	758.8	1040.9
Naga	103637_at	1923.7	1390.6
Fnbp1	103638_at	359.9	365.8
Ifit2	103639_at	366.2	616.6
G3bp1	103642_at	5572.9	4897.2
Zdhhc16	103643_at	1466.2	2059.1
Crat	103646_at	586.1	848.4
Glb1	103647_at	1199.4	972.7
Tacstd2	103648_at	238.2	183
Vps53	103650_at	1844.5	1214.2
Gtf2f2	103651_r_at	1100.5	688.3
Mras	103653_at	94.4	49.6
Hmgn5	103654_at	1453.2	1224.8
Hdac3	103655_at	733.4	553.6
Lancl1	103656_at	1104.7	1370.4
Mtf2	103657_i_at	276.9	436.2
Mtf2	103658_r_at	33	183.9
Pex11a	103660_at	342.9	267.2
Pomgnt1	103663_at	764.6	663.4
Cinp	103664_r_at	341.9	531.1
Elovl6	103665_at	778	875.7
Atp13a3	103667_at	2273.9	1509.9
Supt6h	103668_at	680.1	1184.9
E330034G19Rik	103669_at	702.1	474.5
Cyp2a12	103670_at	404.9	385
Htatip2	103671_at	619.8	385.5
Phf23	103672_at	1929.7	1692.9
C2	103673_at	258.3	156.3
Sbno1	103678_at	2884	2417.5
Srpr	103680_at	3576.8	1368.3
Atp6v0a2	103681_at	1825	1459.7
C80913	103682_at	601.8	603.3
Dhodh	103683_at	539.9	368.2
Mcoln2	103686_at	5.9	31.3
Abcc3	103689_at	273.9	5.8
Trim13	103691_at	292.4	552.9
Efnb3	103692_at	449.2	504.6
Tirap	103693_at	326.4	118.9
Nup188	103694_at	761	1054
C330007P06Rik	103695_f_at	4076	3322.5
Lifr	103697_at	83.7	60.1
Frat2	103699_i_at	54.6	125.3
Frat2	103700_r_at	179.1	242
Ccdc52	103701_at	349.2	546.8
C730048C13Rik	103702_i_at	35.2	16.1
Ddhd2	103704_at	587.5	542.5
Sfxn2	103706_at	294.3	442.9
C3ar1	103707_at	87.9	267.6
Eif1a	103708_at	1577.6	1373.8
Col1a1	103709_at	1279.7	3839.8
3110048L19Rik	103710_at	297	337
Casp9	103711_at	291.3	201.3
R3hdm1	103712_at	923.2	997.4
Usp9x	103713_at	2566.6	1392.9
Scin	103715_at	62.8	59.7
Cep350	103716_at	378.7	475.6
Wwp2	103717_at	1137.4	1075.7
Rest	103720_at	746.6	891.7
Il13ra1	103723_at	1217.5	921
Yipf5	103726_at	1682.8	1513.6
Agfg1	103727_at	956	554.8
103728_at	13.4	171.2
Tsc1	103731_at	371	208.3
Inpp5j	103732_at	125.1	114.8
Taok3	103733_at	312.7	385.4
Ahi1	103734_at	117.8	151.9
Sash1	103736_at	1164.5	1395.7
Gfpt2	103737_at	186.1	378.2
BC037034	103738_at	693	1436.9
Glce	103739_at	1082.3	2007.3
Unc5c	103742_at	208.9	140.4
Sh3bgrl2	103744_at	323.7	176.7
Snx13	103745_at	666	675.6
Suz12	103746_at	1173.6	465
4933407C03Rik	103748_at	681.6	1355.6
Fam83h	103751_at	1395.5	1279.5
Strn	103752_r_at	1213.3	651.3
Zzz3	103753_at	1749.3	1882.1
Ube2d3	103754_at	850.8	418.3
Sh3d19	103755_at	1885.3	1470.4
BC023829	103756_at	1146.8	1059.6
Hinfp	103757_at	206.2	104.4
Setd6	103760_at	20.5	294.1
Gtf2f1	103762_at	1966	1948.9
Ash1l	103763_at	895.2	702.5
Zbtb48	103765_at	50.1	79.9
Rrm2b	103767_f_at	176.6	56.8
Ccdc86	103768_at	76.6	420.5
Il1rap	103769_at	536.2	330.9
Rnf208	103771_at	1199	876.2
Uhrf1bp1	103773_at	824.4	529.1
Ankhd1	103774_at	449.3	531.8
B4galnt2	103776_at	43.2	122.7
C76336	103778_at	38.1	99.8
Mkl1	103779_at	2016	1911.1
1700021F05Rik	103780_at	173.8	206.7
Stx4a	103781_at	2228.9	2857.6
Clcnka	103782_at	173.5	315.6
Xpr1	103783_at	1592	1046
Gemin5	103784_at	486.2	662.1
Sepsecs	103786_at	84.8	277.5
Brd4	103789_at	1033.3	1074.5
Alg3	103790_at	1950.5	1947.8
Naa15	103791_at	759.1	460
Mvp	103793_at	1065.4	1135.2
Timd2	103795_f_at	23.2	8.1
Apaf1	103796_at	819.9	499.5
Cdc7	103797_at	126.7	291
Mtmr9	103799_at	442.9	552.5
Abcc5	103800_at	1266.6	1108.2
Reck	103804_at	124.5	150.9
Nbn	103805_at	361	400.1
Lrp5	103806_at	804	748.1
Wiz	103807_at	519.6	532.6
Golga5	103808_at	1139	1079.7
Dync1i1	103809_r_at	653	524.6
Trp63	103810_at	1588.7	1230.4
Invs	103811_at	479.2	592.6
Sh3yl1	103813_at	86.9	24.3
Pex11b	103814_at	1234.2	1195.3
Pex11b	103815_at	331.1	585
F11r	103816_at	50.6	257
Crtap	103817_at	5262.7	7133.4
Shd	103819_at	47.9	117.4
Cdc6	103821_at	1191.1	1462.2
Clasrp	103822_at	50.5	137.6
Top3b	103823_at	1046.6	662.1
Wfs1	103824_at	385.7	330.2
Rps6kb2	103825_at	429.1	345.9
Zbtb7a	103826_at	414.5	305.3
Vps52	103828_at	1085.8	935.3
Herc2	103829_at	285.6	222.9
Snai1	103830_at	912	1043.6
Tfip11	103832_at	282.8	367.6
Hipk2	103833_at	821.3	636.6
Hpcal1	103835_f_at	4323.5	4119.8
Wbp4	103836_at	435.5	557.4
Casp14	103837_at	86.6	151.6
Sypl2	103838_at	266.6	302.1
Sphk1	103839_at	1250.1	548.4
Rad17	103840_at	251	116.7
Zfp64	103841_at	274.5	335
Gnao1	103843_at	1876.6	1406.4
Slc31a1	103845_at	1785.7	2217.6
Crkl	103848_at	757.2	848.3
Crkl	103849_at	276.1	5.4
Loxl1	103850_at	3382.4	3522.2
Ttc33	103852_at	1693.9	1417.2
Grwd1	103853_at	482.1	359.3
Arl2	103854_at	936.7	1371.6
Plec	103855_at	2387.7	1467.3
Eral1	103858_at	918.1	728.9
Eral1	103859_at	275.2	218.5
Ubfd1	103861_s_at	1651.9	1366.3
Ubfd1	103862_r_at	2098.3	1564.8
Sft2d1	103863_at	4384.8	3258.8
Nufip1	103868_at	192.1	155.2
Thbs3	103869_at	411.4	306.9
Sec23ip	103871_at	1415.3	2008.4
Stau1	103872_r_at	470.8	351.4
Ccdc90b	103873_i_at	549.4	764.4
Ccdc90b	103874_r_at	10.9	82.9
Ngrn	103875_at	379.8	440.8
Utp3	103876_at	2961.9	3178.8
Slc35c2	103877_at	691.4	627.1
Ap3b1	103878_at	2860.2	3054.9
Foxred1	103879_at	913.3	986.7
Ppa2	103881_at	663.3	870.8
Gpn3	103884_at	220.6	494.1
Prpf31	103885_at	1252.6	1338.6
Reep5	103886_at	3520.5	2665.8
Tbl1xr1	103889_at	1382.6	1190.5
Unc45a	103890_at	415.6	373
Ell2	103891_i_at	2259.2	1552.9
Ell2	103892_r_at	586.2	453.7
Fbxo38	103893_at	1207.8	866.1
Shkbp1	103894_at	6417.4	9324.6
AW549877	103895_at	1738.1	1104.2
Igfbp1	103896_f_at	28.8	3.1
Atp11a	103899_at	2182.5	1769
Agap3	103900_at	278.7	335.6
Tbc1d23	103901_at	255.8	86.1
Igfbp6	103904_at	732.2	1.6
Car12	103905_at	50	59.4
Nedd4l	103906_f_at	901.8	669.6
Sdccag3	103908_at	687.1	564.4
Ccs	103909_at	1298.6	972.8
Taf10	103910_at	4584.3	7416.5
Sumf1	103911_at	534.1	493.9
Ppp2r1b	103912_at	677.8	888.7
Sec61a2	103913_at	1449.1	1666.5
Pcyt2	103914_at	1717.5	2153.7
Tmem159	103916_at	66.9	110.2
Cyb5r1	103921_i_at	852.2	979.2
Cyb5r1	103922_f_at	1117.4	1336.6
Gpr137b	103923_at	2724.1	1492.7
Agpat5	103924_at	491.4	707.7
Mllt3	103925_at	344.2	538.3
Eif4g1	103926_at	1169.6	849.3
Zfp568	103927_at	149.9	224.4
Sgol1	103928_at	204.9	394
N4bp1	103930_at	1416.9	1083.5
Gpr162	103931_at	443.9	661.1
Dcaf13	103932_at	4707.4	4585.6
Siae	103933_at	359.9	92.6
Slc6a13	103934_at	459.3	543.3
Atp2a3	103935_at	450.8	293.6
Hibch	103939_at	119.2	86.1
Rad51l1	103944_at	370.4	487.3
Pstpip1	103946_at	891.2	925.5
Ppp6c	103947_at	535.2	582.9
Ihh	103949_at	156.5	102.4
Aqr	103950_at	61.4	111.8
Hoxb9	103952_at	139.1	30.1
Sec22b	103953_at	1026.8	1100
Reg3a	103954_at	144.5	303.3
Cryl1	103955_at	230	100.4
Tfrc	103957_at	978.6	356.1
Tfrc	103958_g_at	4255.5	2972.5
Phf13	103959_at	485.2	646.8
Rundc3a	103960_at	133.7	290.2
Dntt	103961_s_at	36.1	54.9
Iigp1	103963_f_at	637.7	170.8
Esrra	103964_at	1140.4	1275.2
Entpd6	103965_at	595.4	258.2
Mid2	103967_at	187.2	119.2
Mll5	103969_at	1862.4	1729.8
Arid3b	103970_at	142.3	443
P2rx1	103971_at	651.1	577.2
Tmprss2	103974_at	41.3	145.2
103976_at	2	85.9
F10	103977_at	59.5	109.6
Zc3h11a	103978_at	826.5	714.4
Epha2	103980_at	741.7	256.1
Zrsr2	103981_at	782.7	669.4
Inhbc	103986_at	313.8	259.3
Atg2a	103988_at	1122.7	1336.2
Fosb	103990_at	922.7	1316.4
Alppl2	103991_at	241.2	271.9
Khdc1c	103992_f_at	148.6	107.6
Spsb2	103993_at	830.1	618.7
Eif2c2	103994_at	1871.3	1918.5
Kif16b	103998_at	309.1	231.4
Clec16a	103999_at	40.7	372.6
Rfc5	104001_at	181.1	376.2
Zfp275	104002_at	1503.9	1455.2
Phka2	104003_at	264.8	478.4
Golim4	104004_at	2183.7	677.6
Eps15	104006_at	546.9	211.8
Slc25a15	104007_at	588.1	841.3
Zkscan14	104010_at	243.3	277.7
Aox1	104011_at	221.4	78.4
Gnrhr	104012_at	2.8	147.1
Metap1	104015_at	2747.7	2290
Gjb5	104016_at	260.5	169.2
Acsl4	104017_at	1566	414.9
Ubl4	104019_at	310.1	329.4
Rap2b	104020_at	694	1107.7
Hoxa11	104021_at	0.9	52.7
Mphosph10	104022_at	248	395.4
AF251705	104023_at	373.3	44.9
Thop1	104025_at	353.6	585.6
Clgn	104029_at	58.8	140.6
Ptch1	104030_at	959.2	1166.4
Ptch1	104031_at	656.1	914.4
Mast3	104032_at	30.6	11.5
Ctage5	104033_at	1195.1	692.3
9130404D08Rik	104035_at	186	391.1
Dpp7	104036_at	267.6	230.9
Rwdd4a	104037_at	325	152.4
4933434E20Rik	104038_at	2273.6	3114.1
Gm5081	104039_at	214.4	134.6
Ubr4	104041_at	2942.8	2241.3
Slc35b2	104042_at	2558	3974.2
Tspyl4	104045_at	92.7	108.5
Arih1	104046_at	2497.1	1349.2
Mapk8	104047_at	852.6	477
Cars	104048_at	1413.7	1423.8
Rnf6	104049_at	591.8	365
Zfr	104050_at	2087.7	3133.3
Tiprl	104052_at	1797.3	1932.8
Trio	104053_at	516.3	537.8
Ccdc50	104056_at	4159.7	3061.8
Grpel1	104057_at	1448.5	1532.7
Klraq1	104058_at	2226.4	2270.8
Chd8	104059_at	637.7	842.9
Zcrb1	104060_at	3496.6	3857.9
Tom1l1	104063_at	15.7	59.2
Edem1	104065_at	245.3	350.7
Pkdcc	104066_at	115.1	261.8
Tubgcp3	104067_at	656.9	648.6
Strn4	104068_at	283.4	1143.9
Spats2	104069_at	4761.6	4708.7
Kat2b	104070_at	4519.9	3055.3
Tnpo2	104071_at	2419.2	2711.8
Apcs	104072_at	106.1	225.5
Map3k3	104074_at	842.8	782.5
Fam165b	104076_at	435.9	592.4
Lage3	104077_at	1317.9	2330.9
Lage3	104078_g_at	1342.4	1536.5
Dyrk1a	104079_at	950.7	705.1
Pdap1	104080_at	2703.1	2229.4
Rab12	104082_at	2575.4	2453
Hspb11	104085_at	474.6	386.9
Dmgdh	104086_at	50.4	44.9
Anapc16	104087_at	875.1	1277.5
Bnip1	104088_at	1257.3	1152.9
2810026P18Rik	104089_at	575.3	376.7
Cdc23	104090_at	775.1	1096
Tspan9	104091_at	2017.4	2495.2
Usp48	104092_at	914.3	825.2
Lsp1	104093_at	322.3	267
AU040320	104095_at	1590.1	1048.7
Orc4	104096_at	1696.5	1575.5
Bub1	104097_at	1109.6	1389
Pglyrp1	104099_at	58.4	117.2
Ptrf	104100_at	5194.9	7026.2
Slc9a8	104101_at	883.7	971.2
Htra2	104102_at	3178.2	2970
Xpo6	104105_at	1584.3	2570.9
Sbno1	104106_at	252.9	276.5
Dennd5a	104108_at	2300.5	3695.6
Gatad2a	104110_at	3152.8	2239.1
Rab21	104112_at	1883.3	1070.1
Edem3	104114_at	1287	1010.7
Psme4	104115_at	2455	1347.5
Stbd1	104116_at	60.9	239.7
Wdr20a	104117_at	225.2	77
Armc10	104118_at	626.6	263.7
Fam13b	104119_at	810.2	469.8
Dpcd	104120_at	1573.9	974.8
Jup	104121_at	235.4	168.1
Heatr7a	104122_at	1106.2	725.6
Blvra	104124_at	809.1	710.5
Rlim	104125_at	1364	1288.5
Cstf2t	104126_at	1060.6	1280.7
Mfsd5	104128_at	2803.1	2912.5
Tpra1	104131_at	476.8	216.1
Cox4nb	104132_at	2485.5	2911.4
Gdap2	104134_at	424.6	817.9
Arl3	104135_at	1432.6	1267.6
Dlgap4	104136_at	314.7	215.3
Abca2	104137_at	775.9	712.6
P4ha1	104139_at	1322.6	1957.2
Nomo1	104140_s_at	5028.4	3778.3
Pppde2	104141_at	2352	2037.3
Ints8	104142_at	982.5	1317.4
Copz2	104143_at	2077.5	3165.1
Gtpbp2	104144_at	1273.8	1188.3
Tcof1	104145_at	903.3	1101.8
Nans	104147_at	4228.5	4953
H6pd	104148_at	1704.4	2256.9
Nfkbia	104149_at	1046.7	2290.4
Stk40	104152_at	1409.7	936.3
Ivd	104153_at	3724.1	2326.5
Trp53	104154_at	3636.4	4244.9
Atf3	104155_f_at	181.8	145.3
Atf3	104156_r_at	378.8	494.1
Fastkd5	104157_at	476.3	169
Snw1	104158_at	715.2	792.3
Ceacam9	104159_at	190.5	211.3
Acp1	104160_at	459.7	452.5
Cpsf2	104161_at	170.3	304.9
Ipo8	104163_at	1690.3	1388.9
Tysnd1	104164_at	490.1	770.8
Vnn1	104165_at	51.3	76.7
Actr2	104168_at	2245.2	979.1
Mapk8ip1	104170_at	197	901.8
Folr2	104172_at	425.5	109.3
Ms4a1	104173_at	339.2	640.1
Dlg4	104175_at	542.6	473.3
Aak1	104176_at	504.4	692.3
Arf6	104179_at	820.5	567.3
Tubgcp4	104183_at	904.2	1135
Nppb	104184_at	143.6	100.3
Prss32	104185_at	91.9	173.5
Msl2	104186_at	137.2	124.6
Mbd6	104187_at	946.5	942.5
Notch2	104188_at	694.6	836.5
Traf6	104189_at	424.8	404.1
Traf6	104190_at	13.2	133.9
Zxdb	104191_at	25.8	20.9
Tpr	104192_at	298.7	146.1
Fam76b	104193_at	747.5	799.5
5730408K05Rik	104195_at	1561.9	2544.8
Zmym4	104196_at	633.7	507.8
Cdcp1	104198_at	333	348.3
Tigd5	104199_at	522.8	663.6
Slc5a6	104200_at	328.3	288
Plac1	104201_at	694.8	1170.9
Trappc10	104202_at	991.7	786.5
Acan	104205_at	104.7	342.2
Ankrd33b	104206_at	22.7	177
Fhdc1	104207_at	118.4	197.9
Pi4ka	104208_at	467.2	459.6
Cyhr1	104209_at	846.3	631.9
Itga3	104210_at	3174.6	1937.9
Itga3	104211_at	3090	1844.4
Lrpprc	104212_at	2130.8	1681.2
Slc7a8	104214_at	68	114.5
Atf6	104215_at	320.1	180.9
Shoc2	104216_at	154.6	202.1
Gdpd3	104217_at	44.9	45
Pbrm1	104218_s_at	287.9	295.5
Mettl11a	104219_f_at	332.4	496.9
Smad6	104220_at	1352.6	1914.6
Slc7a5	104221_at	2395.1	1796.2
Ggps1	104222_f_at	894.9	816
Snx5	104225_at	344.3	200.1
104228_at	45.8	71
Dclre1a	104230_at	175.1	237.4
Hnrnph3	104231_at	118.6	318.5
Gjb3	104232_at	2135.2	2233.7
Tead1	104233_at	91.6	172.6
Mrps25	104234_at	700.3	1045.6
Sun2	104235_at	5738	4553.4
Pcbd2	104237_at	844	1053.6
Art5	104238_at	698.8	403.9
Tspan32	104239_at	12.2	18.4
Cux1	104240_at	82	139
Mef2d	104241_at	2760.2	1612.4
6530401N04Rik	104242_f_at	866.3	481
6530401N04Rik	104243_r_at	157.1	33.2
Mark2	104244_at	197.1	478.3
Clip1	104245_at	2295.9	2340
Asxl1	104246_at	1018.5	1166.6
Zfyve19	104247_at	778.9	974.9
Ssr3	104248_at	5337.2	1973.8
Ssr3	104249_g_at	6964.9	2163.7
Lrrc8a	104250_at	844.4	2110.7
LOC100504230	104252_at	163.6	272.5
Mllt1	104253_at	574	800.7
Ralgps2	104254_at	52.7	40.5
Fhod3	104255_at	729.8	471.6
Acyp2	104258_at	307.4	633.6
Cbx5	104259_at	3011.8	2702.4
Lpgat1	104260_at	373.1	310.9
Asxl1	104261_at	782.4	516.3
Pthlh	104262_at	463.1	415.9
Lrba	104264_at	378.5	339.2
Kdr	104265_at	224.5	211.5
Slc23a2	104267_at	2317.7	1412.2
Il6ra	104268_at	683.5	515.7
Adrbk1	104270_at	592.2	642.2
Gpr182	104271_at	94.5	405.9
Map3k4	104272_s_at	618.3	572.8
Baat	104273_at	276.1	200.3
Cpne3	104274_at	2972.6	2107.5
Trp53	104275_g_at	2791.3	3597.7
Glipr2	104276_at	4586.7	4159.5
Alg2	104277_at	1384	1314.9
Polr2f	104279_at	10603.7	11936.2
Sncg	104280_at	22.2	40
Lpgat1	104282_at	123.2	115
Tbc1d15	104283_at	2250.9	1266
5031439G07Rik	104284_at	2838.9	3513.1
Hmgcr	104285_at	1057.3	1049.6
Slc38a4	104286_at	213.8	235.2
Senp3	104287_at	3048.3	3393.8
Cul4a	104288_at	1787.7	1876.4
Abcb8	104289_at	205.8	681
Casp8ap2	104290_at	1363.8	1083.4
Eya2	104292_at	41.9	337
Klhl21	104293_at	2539.7	1160.1
Ibtk	104294_at	491.6	615.7
Hnrnpul2	104296_at	382	199
Ipo11	104297_at	1078.8	507.3
2310044G17Rik	104298_at	343.5	297.3
Iqgap1	104300_at	2928.8	4101.2
Mzt2	104301_at	1456.3	1788.9
Commd9	104302_f_at	503.2	664.2
Polr3k	104303_i_at	936.1	1317.4
Polr3k	104304_r_at	645.4	859.9
Rars2	104305_at	1760.1	1710.5
Dpp3	104306_at	2033.2	1202.9
Itgax	104308_at	303.6	310
G6pc3	104310_at	1889.2	1471.1
Ubxn4	104311_at	638.2	1117.6
Abhd14a	104312_at	239	352.1
Pgm2	104313_at	3347.9	2847.4
1110032A03Rik	104314_r_at	271	234.6
Arhgap1	104315_at	2132.7	2280.5
Gna13	104316_at	366.6	516.1
Cse1l	104317_at	1138.1	1579.2
Pex5	104318_at	502.2	365.6
Pdxk	104320_at	1130.8	1423.6
Ckap2	104322_at	1586.8	2456.5
Adpgk	104326_at	1094.4	1171.5
Zfp871	104327_at	820	826.3
Arid1a	104330_g_at	470.8	482.7
Arid1a	104331_at	1920.9	1842
Ptcd2	104332_at	960.1	1774.3
2310004I24Rik	104334_at	1004.1	1140.1
Kifc3	104335_at	453.9	242.2
Pkp2	104337_f_at	934.8	885.3
Pkp2	104338_r_at	422.9	327.9
Pygo2	104339_at	545.5	1343.1
Mbd1	104340_at	283	234
2310014H01Rik	104341_at	5212.3	4433.3
Pla2g12a	104342_i_at	181.5	110.4
Pla2g12a	104343_f_at	3307.6	2730.2
Exoc7	104345_at	876.2	870.7
Acbd6	104346_at	479.5	673.8
Bre	104348_at	1375	1636.6
Snip1	104349_at	766.9	722.6
Shc1	104350_at	3951.9	2532.7
Gmppb	104351_at	382.3	569.4
Brd4	104352_at	1905.5	1717.9
Zfp777	104353_at	51.3	85.7
Csf1r	104354_at	224.1	267.4
Taf9	104356_at	241.5	242.7
Svil	104360_at	3483.1	3824.6
Zfp637	104361_at	771.4	854.3
Ube2o	104362_at	1217.9	785.7
Cdsn	104363_at	2051.6	4822.9
Mapkapk5	104364_at	434.8	663.7
Scamp2	104365_at	1248.2	1067.1
Zfp362	104366_at	1326.2	1020.9
Eps15	104367_at	1400.5	930.8
Mapre3	104368_at	102.9	166.7
Krt6a	104369_at	848.3	529.1
Krt6a	104370_s_at	356.4	475.1
Dgat1	104371_at	3177.2	1771.1
Pds5b	104373_at	294.1	248.1
Hdac5	104376_at	2949.5	3103.7
Pon2	104378_at	1041.7	1676.9
Slc35a1	104380_at	986.5	905
Itgav	104385_i_at	3749.3	2340.3
Itgav	104386_f_at	8209.7	7324.6
Ccl9	104388_at	1204.8	1443
1700017B05Rik	104389_at	2209.9	1756.6
Anp32a	104390_at	1403.9	1709.8
Clcn7	104391_s_at	1486.7	1354.3
Clcn7	104392_at	137.7	663.9
2810453I06Rik	104393_at	22.2	44.8
Abcb10	104394_at	210.3	214.7
Itpkb	104395_at	617.8	435
Znrf2	104396_at	116.2	153
Cstf2	104399_at	1582.8	1026.1
Ykt6	104400_at	828.5	530.1
Zfp865	104401_at	168.9	23.3
Gtf3c4	104402_at	383.3	345.2
2700078E11Rik	104403_at	1342	690.8
Naa30	104404_at	464.4	456.6
Ccdc93	104405_at	627.8	643.2
Ptges	104406_at	66.8	75.2
Grik5	104409_at	12.4	172.3
Midn	104410_at	2248.9	2761.2
Slc35d1	104413_at	563.4	587.4
Gnao1	104414_at	970.5	1319.3
Foxp1	104415_at	1039.6	1255.8
Flt4	104416_at	280.4	63.6
Flt4	104417_at	100	220.3
Znrf2	104418_at	49.7	26.6
Fndc3a	104419_at	994.2	375.3
Nos2	104420_at	80.4	145.7
Fmo3	104421_at	126.8	110.3
Ptprn	104422_at	313.9	515.7
Dtl	104423_at	968.5	1237.2
Sbf2	104427_at	898	839.4
Matk	104428_s_at	390.9	550.5
Atp13a2	104433_at	499	684.7
Unc119b	104434_at	2582	2468.9
Igsf10	104435_at	520.1	671.7
Il1f5	104436_at	80.5	64.2
Zfp30	104437_at	627.2	558.4
Nat6	104439_at	206.4	308
Trim3	104441_at	299.3	300.2
Rab14	104442_at	234.3	103.1
Ocel1	104444_at	213.5	240
Itih5	104445_at	148.8	244.1
Pacrgl	104446_f_at	232	152.1
Pacrgl	104447_r_at	308.9	257.2
104450_at	53.9	94.4
Slc11a2	104451_at	1603.3	1857.6
Sap30l	104453_at	2419.9	2834.4
Pms2	104454_at	143.2	141.8
Tox4	104456_at	201.5	147.4
Tcf7l1	104458_at	124.2	931.9
Pik3ca	104461_at	782.2	492
Hic1	104462_at	232.7	220.8
Utp20	104463_at	480.2	530.3
Kdelr3	104464_s_at	2944.3	3952.1
Miip	104466_at	241.8	321.4
Cpd	104467_at	2090.5	1282
Incenp	104468_at	376.6	235
Utp14a	104470_at	489.2	210
Hdac6	104471_at	1689	1672.2
Gpn2	104473_at	941.5	1004.9
Slc35e1	104475_at	539.5	811.5
Rbl1	104476_at	928.3	1259.5
Eef2k	104481_at	123	18.2
Stx2	104482_at	625.4	1378.1
Sult2a2	104484_at	124.6	121.8
H2afj	104487_at	189.2	65.9
Snx21	104488_at	417.7	515.8
Phtf2	104491_at	712.6	905.8
Ebf3	104492_at	145.6	157.6
104493_at	74.5	67.9
Ankrd57	104494_at	186.8	242.2
Homer1	104498_at	50.6	20.1
Homer1	104499_at	41.5	41.5
Idua	104500_at	288.3	128.4
Vapb	104501_at	341.6	325.5
