"","GSM144202","GSM144203","GSM144204","GSM144205","GSM144206"
"MIR4640///DDR1:1007_s_at",13.2810026960279,13.039158961379,13.4219464645353,13.0952486575843,13.3193616484683
"RFC2:1053_at",11.516783423426,11.2582126775488,11.6048311782256,11.2002856052243,10.9102679558108
"HSPA6:117_at",8.3389591754152,8.98697970917658,8.4890451251148,8.72007321139177,8.9692426044345
"PAX8:121_at",12.2549105048372,12.2330503949011,12.4209076225438,12.3726202381462,12.1778243826387
"GUCA1A:1255_g_at",7.32822611878773,6.95535930524299,8.02680005934372,7.47411151394241,7.04984854945056
"MIR5193///UBA7:1294_at",10.3018391086729,9.80574387215162,10.3490600244256,10.078817949962,9.56376827845203
"THRA:1316_at",8.38154295118458,8.7797193551434,9.02097993890421,9.09539702279256,8.3151495622563
"PTPN21:1320_at",8.0911708900279,7.56376827845203,8.05853297020161,7.3931759143488,7.66959375118833
"CCL5:1405_i_at",5.19770815795585,5.16591193893569,5.00898878322726,4.64961545906341,4.14567745519564
"CYP2E1:1431_at",7.55382125653269,7.75688985507462,7.10852445677817,7.44542875923832,7.34340782229781
"EPHB3:1438_at",9.10355009275797,9.99619099508813,8.3566720442121,9.24982454861618,9.41531924814038
"ESRRA:1487_at",11.7737573721398,11.6704349599024,11.8682052269774,11.9728003352245,11.8801574566018
"CYP2A6:1494_f_at",10.3218153799343,10.2185632361903,10.565292520581,10.4718783965684,10.0768155970508
"GAS6:1598_g_at",12.7601169661973,13.057957888051,12.4454546248814,12.2180788258639,12.2803938110094
"MMP14:160020_at",10.6793921276135,10.2379269466263,10.5755392468345,11.3165643853969,11.0007746770072
"TRADD:1729_at",10.0662237639424,10.0346614255124,9.70891143725402,10.1351962366534,10.6675551070411
"CHURC1-FNTB///FNTB:1773_at",10.1950030271113,10.1950030271113,10.0956607454952,10.351160098022,10.0644733287534
"PLD1:177_at",8.79571500650173,8.54920708935568,9.13878375725385,8.9469062744564,8.98641093525204
"DTX2P1-UPK3BP1-PMS2P11:179_at",11.5630532352147,11.7969318888306,12.1579784499454,12.4821020632176,11.6837403098851
"BAD:1861_at",10.1362221531702,10.255146625139,10.2379269466263,9.98156728190301,10.1781668547844
"PRPF8:200000_s_at",13.4016395320339,13.5314667524654,13.3333790066231,13.4039839702692,13.4539393461803
"CAPNS1:200001_at",14.4751761026324,14.3851074299453,14.4039240746814,14.3741904575792,14.6014980524182
"RPL35:200002_at",15.8546249274064,15.6885836206176,15.8915558912789,15.811715858172,15.8280000843414
"MIR6805///RPL28:200003_s_at",16.106397315436,16.0819681108603,16.0646922493336,16.0230005873278,16.1926241647005
"EIF4G2:200004_at",14.6998055819502,14.911443484995,14.8100946070096,14.8765313350741,14.9052600678447
"EIF3D:200005_at",14.8638571664875,14.667909860849,14.764617645769,14.9908795408463,14.9426244626611
"PARK7:200006_at",15.1807949561004,15.296568536267,15.3013640085671,15.2729395462791,15.302881637096
"SRP14:200007_at",14.7233516404386,14.5388194276008,14.4895030468755,14.78734654955,14.85355323331
"GDI2:200008_s_at",13.1456615355386,12.9694404864816,13.2699886481715,13.3171723330229,13.3316167738451
"GDI2:200009_at",14.0746181558898,13.8679640115424,14.0642712187284,13.9343635344243,14.1686407821047
"RPL11:200010_at",15.5359982443046,15.6384302572391,15.6202828389243,15.4972811561653,15.6467780677233
"ARF3:200011_s_at",12.9958378002273,13.2661130477624,13.3684928202269,13.2616689055023,13.384284601334
"RPL21P28///SNORA27///SNORD102///RPL21:200012_x_at",15.5815448524471,15.5019553318135,15.6555614684214,15.5571106432739,15.7734921085908
"RPL24:200013_at",15.692934188774,15.8182301480999,15.8961313322543,15.8749909502246,15.8484566766755
"HNRNPC:200014_s_at",13.7673258147419,13.9558859787911,13.8779838358153,13.9406714732802,13.7482243033536
"SEPT2:200015_s_at",13.8176532334101,14.1015653831323,14.0332423091879,13.8508509809532,14.0907823231581
"HNRNPA1P10///HNRNPA1:200016_x_at",15.4299624225489,15.7510418736547,15.5106343788558,15.3625911146205,15.4417770532242
