GENE_SYMBOL	ID_REF	VALUE	ABS_CALL
2410015M20Rik	98039_at	3401.4	P
Fam134a	95401_at	2263.6	P
Mtm1	96199_at	415.9	P
Mmp7	92917_at	-88.5	A
F8	94799_at	-33.1	A
Itih4	98467_at	-194.7	A
Glra1	100385_at	591.1	A
Polr1d	161852_i_at	-53.4	A
C330007P06Rik	103695_f_at	4076	P
Atf5	103006_at	726.7	P
Tarbp2	103101_at	1093	P
Cdk2	94412_at	927.6	P
Nqo1	100725_at	45.1	A
Gtf2h1	94812_at	456.3	P
Prpf38b	97919_at	592.3	P
Errfi1	93975_at	8224	P
Tulp2	160863_at	42.3	A
Aadac	95439_at	-14.4	A
Tanc1	161203_f_at	13.2	A
Tspan33	104398_at	-79.3	A
Vwf	97052_at	-194.3	A
Cadm1	93605_r_at	-15	A
St6galnac5	92403_at	-15.7	A
Hoxd1	98819_at	-370.6	A
Nucb1	94839_at	2165.2	P
Tmem223	96017_at	2086	P
Mki67	99457_at	1778.6	P
Mcm3	160496_s_at	4234.2	P
Npepps	96259_at	2110.1	P
Nub1	161580_f_at	77.8	A
Gna14	95364_at	-25.2	A
Kcnk1	102335_at	323.1	P
A130082M07Rik	97944_f_at	399.8	A
Col11a1	100481_at	57.7	A
Wdr20a	104117_at	225.2	A
Igh-2	97009_f_at	-0.9	A
Emp1	97426_at	19749.1	P
Rab3b	160868_at	-844	A
Jag2	92510_at	-164.2	A
Apoa4	100078_at	-113.8	A
Dtl	104423_at	968.5	P
Slc6a20b	92454_at	362.2	A
Gstm5	100629_at	403.1	P
Rhox6	102212_at	-70.5	A
Atxn1	98854_at	21.4	A
Dolpp1	94373_at	1180.2	P
Adam5	99474_at	38.9	A
Map3k2	101175_at	109.1	A
Chmp7	101392_at	379	P
Polrmt	92337_g_at	-43.8	A
Dctpp1	96294_s_at	611.5	P
Mep1a	100542_at	155.7	A
Arf3	95889_at	1051.8	P
Tmed2	93817_at	1341.2	A
Rai1	98791_at	-568.2	A
F10	96501_at	135.3	A
Tox4	161187_f_at	30.8	A
Gab2	98276_at	-4.8	A
LOC625360	102254_f_at	-89.9	A
Cdr2l	96524_at	869.9	P
Slc25a1	94807_at	1943.6	P
Eif2b5	96822_at	1815.9	P
Nr1h3	104381_at	-64.6	A
Scrg1	94181_at	-94.5	A
Dhrs3	102797_at	222.5	P
Sparcl1	160319_at	20.6	A
Dapk2	99506_at	206.5	A
Adcyap1r1	98362_s_at	138.2	A
Pdha2	99542_at	26.5	A
Zeb1	99052_at	1997.2	P
Cd81	101495_at	4401.1	P
D12Ertd123e	95953_at	48.1	A
Fut9	95328_at	-11.2	A
H2-Q5	95773_at	58.4	A
Slc12a5	100370_at	118.2	A
Sgol1	161676_at	65.5	A
Hs1bp3	92411_at	1450.4	P
Avpr1a	161189_r_at	78	A
Rbm17	94081_at	2473.9	P
Ighv14-2	98974_at	-59.2	A
4930579C15Rik	160985_at	71.3	A
Sypl2	103838_at	266.6	A
Gzmm	95363_at	-22.5	A
Myo1e	92277_at	7.4	A
Pspn	100298_at	-391.8	A
Pfkfb2	98329_at	101.1	A
Anp32e	97556_at	2881.8	P
Luc7l2	95287_at	712.3	P
D8Ertd107e	101224_at	110.4	A
Ubn1	161220_f_at	-1	A
Vamp8	100345_f_at	4779.3	P
Arhgdib	94258_at	904.8	A
Adh4	103983_at	-273	A
Polr2g	94073_at	4651	P
Sprr2i	95794_f_at	1488.2	A
Tulp1	98296_at	-129.2	A
Ngef	93178_at	138.1	A
Snrpb2	162026_r_at	-316.9	A
Glrx	95722_at	6926.6	P
Puf60	96329_at	3708.3	P
Cyp7b1	161345_f_at	228.1	A
Acot9	94850_at	3614.6	P
Meox1	98419_at	251.5	A
Shh	101831_at	96.5	A
Vrk1	97393_at	167.7	A
Ftsjd1	103497_at	411	P
Lhcgr	100705_at	-66.1	A
Pou6f1	160793_at	156	A
4933407C03Rik	103748_at	681.6	P
Hsd11b2	161517_at	-7.5	A
Mag	102405_at	-49.4	A
Mbd2	160833_at	1427	P
Arl2	103854_at	936.7	P
Maz	160355_at	-195.3	A
Pgm2	104313_at	3347.9	P
Mrpl18	93786_i_at	2480.4	P
Cldnd1	160228_at	484.1	P
Trim37	103092_at	785	P
Pppde2	162438_f_at	707.9	P
Ndufv2	94062_at	10564.4	P
Mid2	103968_at	122.1	A
Ctrb1	160421_r_at	320.5	A
Myc	104712_at	1220	P
Ldoc1l	93423_at	108.2	A
Krtap3-1	97470_at	349.9	A
Rbx1	95125_f_at	3029.8	P
Faf1	160098_s_at	1539.8	P
