GENE_SYMBOL	ID_REF	VALUE	ABS_CALL
Bcl2	98868_at	106.6	P
Zfand6	93082_at	1749.2	P
Preb	160087_at	203.2	A
Mlec	94000_at	772	P
Stat6	94331_at	1884.9	P
Clk4	101937_s_at	591.8	P
Zfp101	99963_at	106.7	A
Arf6	100462_at	388.7	P
Stmn1	97910_at	-20.8	A
Atxn1	98854_at	-68.4	A
Obp1a	99377_at	23.2	A
Smn1	103620_s_at	1157.8	P
Aaas	98878_r_at	1096.4	P
Nr1h2	101981_at	620.6	P
Clcn7	104391_s_at	1354.3	P
Faf1	98987_at	465.1	A
Ttk	103201_at	1262.3	P
Magea7-ps	101808_at	116.1	A
Gne	97924_at	671.6	P
C80068	101607_at	88.7	A
Ywhab	98053_at	8420.6	P
Ddx4	94162_at	192.7	A
Rangap1	98603_s_at	2039	P
Fars2	103608_at	734.3	P
Zfp59	101686_at	-32.1	A
Hbb-bh1	103533_at	-240.3	A
B3galnt2	93978_at	177.1	M
Extl3	95591_at	1896.9	P
Foxk2	92413_at	-101.2	A
Rhot1	95438_at	1226.8	P
Trappc4	160361_at	2084.4	P
Ech1	93754_at	2256.7	P
Abca1	94354_at	15.8	A
Odz4	97581_at	193.9	M
Anln	96784_at	5198.9	P
Ugt2b5	96796_f_at	105.9	A
Cdv3	160325_r_at	-151	A
Btbd17	161082_r_at	62.1	A
Tnks1bp1	103542_at	2089.6	P
Ndufb2	160342_r_at	-139.6	A
Lars	103630_at	2150.2	P
Podxl	100394_at	-374.6	A
Polr1d	161852_i_at	-142.9	A
Naglu	93373_at	1026.1	P
Wnt3	99325_at	292.1	P
Grb2	101034_at	1559.4	P
Bmp2k	93376_at	69.8	A
Def8	160490_at	3579.9	P
Csrp1	92608_at	8353.2	P
Dph5	100912_at	390.6	P
Mylpf	92881_at	70.2	A
Ng23	92307_at	341.9	A
3200002M19Rik	161264_f_at	495	P
Fnta	98121_at	2506.8	P
Serpinb9e	160972_at	30.7	A
Cox7a2	93820_at	9561.9	P
Tgfbr1	92427_at	55.8	A
Yipf5	103726_at	1513.6	P
Selk	162420_r_at	800.6	P
Fosb	103990_at	1316.4	P
Mal	99089_at	144.6	A
Rab34	160317_at	4382.2	P
Sap30bp	161662_f_at	101.1	A
Sprr2g	101754_f_at	1528.3	A
Adh7	93695_at	1392.2	P
Baat	104273_at	200.3	A
Abcc1	99329_at	1555.1	P
Vdac3	160551_at	6260.2	P
Alpl	92796_at	311.6	P
D1Ertd75e	97140_at	-215	A
Gpr44	101282_at	729.7	P
Zfp568	103927_at	224.4	A
Tubgcp4	104183_at	1135	P
Reln	96591_at	25.2	A
Limch1	103743_at	-18.4	A
Tbc1d20	101505_at	1105.9	P
Myl4	160487_at	140.3	A
Ctf1	103037_at	100.1	A
Mafk	102919_at	679.1	M
Mir686	101741_at	7321.8	P
Pde6d	160602_at	1876	P
Lmo1	102413_at	233.7	A
Bin1	99668_at	6046.9	P
Lgals3bp	97507_at	228.7	P
Serbp1	96539_at	-81.2	A
C9	104424_at	-335.9	A
Mtm1	96199_at	152.4	A
Fahd1	99659_r_at	330.8	A
Znrf2	161272_f_at	336.6	P
Mrps11	97884_at	875.8	P
Pkp2	104338_r_at	327.9	P
Ldb3	160354_at	15.7	A
6330512M04Rik	103198_at	832.2	M
Ifi27l2a	92718_at	152.1	A
1500010J02Rik	160787_at	1186	P
Rnf167	94555_at	1184.1	P
Vapa	94889_at	8155	P
Galm	96790_f_at	2.5	A
Gapdhs	160950_at	-34.9	A
Gm98	104266_at	233.6	A
Cckbr	101344_at	970.1	A
Rbm14	100138_f_at	1854.9	P
Ift46	97423_at	1755.1	P
Sepsecs	103786_at	277.5	A
2700094K13Rik	96016_at	3013.5	P
Sytl4	161026_s_at	68.8	A
Phf7	161240_f_at	142.5	A
Coasy	94241_at	476.9	P
Wisp2	94704_at	8318.1	P
Cox17	160230_at	6027.1	P
Fam3a	102042_at	404.1	P
Tro	92270_at	1359.1	A
Apex1	93559_at	3895.2	P
Col14a1	99476_at	96.6	A
Bnip3l	96255_at	2691.3	P
Tec	103539_at	-248	A
Sc4mol	160388_at	5048.8	P
Dlx1	98394_at	1605.3	P
Dlg4	104175_at	473.3	M
Plekha1	162252_f_at	429.9	A
Npepps	96259_at	1356.1	P
P4ha1	104139_at	1957.2	P
Scp2	95787_s_at	2490.5	P
Ralbp1	93255_at	3756.8	P
Celf2	93892_at	43.1	A
Zfp651	101210_at	550.2	P
Crygd	162268_at	81	A
Klk1	100060_i_at	-12.6	A
Gstm2	93009_at	4491.9	P
2610019F03Rik	161405_r_at	68.3	A
Clk2	103346_at	962	P
Ms4a6b	97322_at	-34	A
Npas1	100712_at	102.9	A
Nr1i2	93696_at	-468.3	A
Eif2s2	97083_at	1508.6	A
Lag3	98392_at	115.1	A
Lcp1	94278_at	-189.8	A
Dvl2	100495_at	783	P
Clcn1	102622_r_at	10.6	A
Kdm3a	95033_at	1127.6	P
Eif1ax	160111_at	943.1	P
Wars	161337_f_at	204.1	A
Rpl7l1	98138_at	709.2	P
Tmed2	93819_at	7442.3	P
Ndufa6	160237_at	1732.8	P
Acadvl	161623_at	-163.7	A
Dgcr2	100142_at	1216.9	P
Srsf4	104754_at	1035.4	P
Opn1mw	101679_at	197.5	A
Galt	104615_at	35.4	A
Eepd1	160916_at	-46	A
Ube3a	101581_at	562.6	P
Slc6a20b	92454_at	287.9	A
C8g	161837_r_at	-439	A
Spna1	103941_at	26.8	A
Ccnb1	160159_at	2435.3	P
Son	100401_at	559.5	P
Cyb5r1	162254_f_at	-51.8	A
Golph3	160688_at	2569.2	P
Rgs16	161609_at	44.2	A
Tnnt1	101383_at	328	A
Brca2	102911_at	588.3	P
Grwd1	161421_r_at	248	A
Seh1l	162367_f_at	-39.4	A
Eno3	96344_at	4422.5	P
Atp1a2	99481_at	-147.9	A
Guca1a	103038_at	163.4	A
Cyb561	92391_at	284.7	A
Eif4ebp2	94353_at	1166.5	P
Naa38	102409_at	2870.4	P
Ces3a	99941_at	-103.8	A
Atp8a1	100315_at	3.5	A
Ube2z	160454_at	1333.6	P
Camk2b	100453_at	-202.7	A
Tmco1	160322_at	2162.5	P
Lactb2	97257_at	308	P
Zkscan6	102297_at	2.2	A
Camk2a	93660_at	-140.4	A
S100a1	95453_f_at	1098.6	P
Igf2bp1	102627_at	195.8	P
Ear1	100311_f_at	45.6	A
Tlx2	97679_at	-109.4	A
Rab31	96811_at	2947.4	P
Rnf149	98915_at	1727.6	P
Klf9	93528_s_at	595.7	P
Mb	100614_at	73.5	A
Sub1	161508_at	-89.6	A
Tmed10	93336_at	5787.5	P
Rin2	160827_at	2178.9	P
Igfbpl1	92349_at	92.7	A
Phf7	161632_r_at	394.7	A
Mgst3	96258_at	3201.6	P
Gm1502	101718_f_at	296.9	A
Pabpc4	92774_at	17.7	A
Ptma	100718_at	12021.9	P
Trim28	93071_at	10851.3	P
Ociad1	95413_at	5012.1	P
Tcfcp2l1	103761_at	12.1	A
Soat2	97132_at	1052.6	P
Gabra3	94645_at	-15.2	A
Srpk1	102985_at	334.1	A
Foxc1	160604_at	252.1	P
Socs1	92832_at	368.1	A
Rdx	101056_at	2627.8	P
Rab3ip	95539_at	390.1	P
Adam3	161196_r_at	356.5	P
Kcnd1	101302_at	-111.2	A
Il1a	94755_at	11.5	A
Sin3b	93789_s_at	3696.9	P
D16H22S680E	95025_at	1383.6	P
Cacna1e	100337_at	-14.9	A
Zfhx4	98760_at	-80.4	A
Coq4	161675_f_at	-97	A
Uck1	94381_at	1283.3	P
Ocel1	104444_at	240	A
H2-D1	101886_f_at	9288.5	P
Syt9	100363_at	105.3	A
Gm5571	99396_at	35.9	A
Smarcd2	160675_at	21.5	A
Tagln	93541_at	415.8	P
Ehf	102243_at	126.7	A
Alox15	98758_at	-62.9	A
Miip	162036_r_at	555.5	A
Pppde2	162438_f_at	138.4	A
Fam3c	95541_at	982.1	P
Casp1	102064_at	972.7	P
Gdi2	94642_at	700.9	A
C76533	94686_at	-48.9	A
Ptpn2	101996_at	419.3	P
Nsmce4a	93986_at	2929.8	P
Rhoc	162468_at	1703.3	P
Rasip1	104146_at	-282.8	A
1810021B22Rik	103540_at	61.2	A
Bet1l	98052_at	280.1	P
Tox4	96196_i_at	428.9	A
Haus6	100290_f_at	962.7	P
Ccdc93	104405_at	643.2	P
Naa10	100575_at	1673.8	P
Rell1	97918_at	897	P
Cdca8	97295_at	2901.9	P
Ifit3	93956_at	176.1	P
Psmc5	160534_at	2325.8	P
Scd1	94058_r_at	568.3	A
Tacr1	94635_at	-171.5	A
Snrpg	93999_at	8372	P
Cd86	102830_at	-227.2	A
Nop58	92569_f_at	1274.1	P
Ccdc12	94410_f_at	2979.3	P
Grb7	103095_at	439.2	A
Tcta	162100_r_at	212	A
Ddx46	101423_at	243.5	A
Mtcp1	103044_g_at	1086.2	P
Thumpd3	101444_at	1110.7	P
Tmem183a	93301_at	701.2	P
Sbno1	161237_at	125.3	A
Pcbp1	94552_at	10991.2	P
Rbmxrt	160192_at	2858.7	P
Stac	94731_at	289.4	A
Sh2b1	101843_at	300.8	P
Cilp2	95374_f_at	1062.2	A
Cpsf2	160542_at	517.7	P
Mtdh	93802_at	440.1	P
Tor2a	97557_at	293.4	A
Itih2	104519_at	-94.7	A
Ptprm	92309_i_at	142.8	P
Pi4k2a	160307_at	1195.3	P
Myef2	160626_at	2643.6	P
Capn1	100932_at	277.8	A
Ogn	160877_at	410.8	P
Usp9x	99102_at	158.5	P
Gtf3a	94558_g_at	1951.4	P
Wbp5	100523_r_at	1148.8	P
Krt1	100685_at	956.7	A
Eomes	93880_at	56.8	A
Mrc1	103226_at	-21.6	A
Ap3s1	160734_at	5987.7	P
Tgm3	96566_at	5.6	A
Notch1	162204_r_at	533.5	A
Mfng	100508_at	425.4	A
Ppp1r14b	160078_at	5148.1	P
Slc25a11	160295_at	3736.1	P
Stt3a	98922_at	337.7	P
Cry1	94421_r_at	-57	A
Lsm14a	160281_at	1589.1	P
Cml1	92835_at	427	P
Kctd12	104735_at	-26.4	A
Hemgn	94402_r_at	122	P
Zrsr2	103981_at	669.4	P
Fbln2	100928_at	94.3	A
Uts2r	95306_at	337.2	M
Art2b	99402_at	126.8	A
Atp2c1	95897_at	716	P
Snap25	100047_at	-55.2	A
Cpd	160655_at	909.8	P
Dnase1	92865_at	38	A
Lifr	103697_at	60.1	A
Fmo3	104421_at	110.3	P
Egf	161460_r_at	143	A
Pgcp	93039_at	1413.1	P
Rpn2	94077_f_at	6808.7	P
Hs1bp3	92411_at	1588.2	P
Atf2	162010_r_at	-67	A
Defa-rs2	94738_s_at	-23	A
Bmp4	93456_r_at	1467.3	P
Mt4	102989_at	-200.1	A
Smr2	102684_at	66.5	A
Map2k7	99037_at	-126.6	A
Fadd	100500_at	632.2	P
Rab24	93347_at	925.7	P
Cdk2ap2	95679_at	6169.2	P
Pla2g2c	99326_at	151.5	P
Cacnb3	98483_at	2514.1	P
Dpagt1	103352_at	1343.5	P
Tcf7l1	160780_at	1063.8	P
Rangrf	100562_at	-438.4	A
Col17a1	160594_at	82.7	A
Cyb5r3	94284_at	8677.1	P
Pard3	160607_at	418.8	P
Hdhd2	98881_at	461.1	P
Brd7	100544_at	503.4	P
Bmp6	161028_at	-312.7	A
Prkcb	99510_at	7.9	A
1110001A16Rik	160709_at	971.8	A
Lipc	98962_at	156	A
Cct3	161238_f_at	1687.3	P
Ube4b	93966_at	1643.2	P
Bphl	161851_r_at	-474.5	A
Baiap2	99337_at	248.3	P
Arl8b	98490_at	330	P
Rnf141	101939_at	2776.2	P
Hoxa9	92745_at	208.2	A
Pkp1	99996_at	310.5	P
Itga3	104210_at	1937.9	P
Zfp213	101369_at	740.2	P
Slc39a7	103371_at	2751.4	P
Sema6a	100762_at	-207.6	A
Dap	93842_at	24974.2	P
F3	97689_at	542.3	P
Gatm	96336_at	19	A
Edn3	100766_at	-434.6	A
Unc119	95555_at	2747.3	P
Znfx1	102965_at	419.9	P
Cntn3	96568_at	-326.1	A
Npy2r	162037_f_at	241.4	M
Prm3	162056_f_at	-375.8	A
Hsd17b12	94276_at	4014.1	P
Usf1	93655_at	1709.4	A
Acvr2a	98841_at	342.3	A
Usp42	97780_at	-83.9	A
Ndufc1	100628_at	3849.2	P
Col1a2	101130_at	-137.7	A
Ints5	161444_f_at	1211.8	P
Pafah2	104138_at	-49.4	A
Ezh1	100486_at	641.1	P
Krt81	161174_i_at	51.9	A
Guca2b	95569_at	-220.2	A
8430410A17Rik	160684_at	327.3	A
Sry	99555_at	13.5	A
Vps53	103650_at	1214.2	P
Set	161182_r_at	2.4	A
Farsa	160231_at	1588	P
Plxna1	97699_at	-171	A
Sp1	100032_at	1273.3	P
Pla2g10	161034_at	-52.9	A
Mgat1	96087_at	2065.6	P
Tmem165	160549_at	6321.4	P
Ran	101254_at	37362.9	P
Pfkm	94438_at	1153.4	P
Hyal2	100447_at	809.6	A
Bcl2l1	99026_at	12.3	A
Epb4.1l4a	161603_r_at	92.6	P
Tubb4	101419_at	205.7	A
H47	94245_at	736.6	A
Ctsg	92924_at	-30.9	A
Wnt1	94134_at	260.3	A
Acaa1b	99571_at	562.7	P
Six4	92999_at	319.7	M
Azi2	96572_at	32.5	A
Rlim	104125_at	1288.5	P
Miip	162028_f_at	-6.5	A
Sult1c1	96421_at	-179.3	A
Cilp2	95375_r_at	-157.1	A
Zfp532	161096_at	171.3	A
Agr2	101075_f_at	81.4	A
Rfwd2	98379_r_at	2494.3	P
Casp4	102905_at	22.4	A
P4hb	93108_at	698.4	A
Orc2	160838_at	217.5	A
Gsc	94187_at	-105.3	A
Hoxd12	99427_at	-42.3	A
Tnnc1	101063_at	-2.6	A
Wt1	93856_at	197	A
Bcap29	160876_at	1126.2	P
Adam3	100526_f_at	-8.9	A
Nagk	97385_at	131.2	A
Ror2	93724_at	-48.8	A
Pitpnb	102696_s_at	1320.8	P
Psma3	92544_f_at	11594.7	P
Khk	104323_at	171.9	A
Slc38a4	104286_at	235.2	A
Foxj1	98831_at	507.5	A
Agpat1	93720_at	401.6	P
Tfrc	AFFX-TransRecMur/X57349_5_at	-34.4	A
Erbb4	101777_at	-111.5	A
C76472	102106_at	180.8	A
Npdc1	92626_at	5708.2	P
Cox8a	92860_at	-81.2	A
Chmp2b	160112_at	387.4	P
Tufm	96626_at	1508.2	P
Xiap	93400_at	200.6	P
Iscu	95645_at	317	A
l7Rn6	98934_at	3380.7	P
Dntt	161409_f_at	201.2	A
Cpsf2	104161_at	304.9	P
Rgs10	161765_f_at	5027.5	P
Col5a1	101080_at	2403	P
Dpep1	103644_at	-5.9	A
Ndufa3	162496_r_at	664.4	A
Clic4	94255_g_at	6089.9	P
Vmn2r26	99700_at	-25.4	A
A130022J15Rik	161932_r_at	-58.2	A
Gm10845	98369_f_at	6384.1	P
Ubxn11	161199_at	336.3	A
Rps26	98564_f_at	29900.1	P
H2-Aa	92866_at	-532.7	A
Gapdh	AFFX-GapdhMur/M32599_3_st	156.8	A
Ptov1	99599_s_at	5015.4	P
Ptprk	160760_at	2466	P
Sec62	99501_at	1152.1	P
Ccdc96	98326_f_at	45.3	A
Edem2	160789_at	1902.2	P
Tmem14c	96353_at	3525.5	P
Polr3a	92654_at	51.6	A
Gpi1	100573_f_at	2310.3	P
Psma4	97459_at	7391.8	P
Itk	103028_at	245.8	P
Nudt9	98099_at	2401.3	P
Nlk	93935_at	153.8	P
1110067D22Rik	160704_at	957.8	P
Gnpda1	100565_at	209.2	P
Gatad2a	160677_at	439	A
Zfp61	102303_i_at	582.7	P
Fam134a	95401_at	2117.2	P
Sebox	93668_at	-544.2	A
Cecr5	99820_f_at	-52.7	A
Smpdl3a	94872_at	21.2	A
Ext1	102811_at	4484.7	P
Gm9222	161688_r_at	1020.8	P
Ccl12	93717_at	130	A
Rnf5	101421_at	1459.3	P
Alcam	104407_at	-6.1	A
Lamc1	161706_f_at	1142.1	A
Calm3	92632_at	3446.8	P
Gstp1	99583_at	26937.2	P
Gadd45b	161666_f_at	1482.1	P
1110049F12Rik	161424_f_at	956.7	A
Chrnd	96549_at	193	A
Pias1	99029_at	533.4	P
Rnf38	160757_at	592.4	P
Psg-ps1	97086_i_at	14.3	A
Sep15	160360_at	13715.6	P
0610010K14Rik	95634_at	650.7	P
G0s2	97531_at	-158.8	A
Fdps	160424_f_at	12382	P
Pou6f1	99891_at	320.4	P
Tmem49	95444_at	10991.9	P
2410002F23Rik	160727_at	735.1	P
Asnsd1	161389_f_at	120.8	P
Tram1	98956_at	5271.9	P
Lap3	98112_r_at	43.7	A
Macf1	98402_at	1883.3	P
Calcr	101135_at	126.7	A
4933426M11Rik	96614_at	5158	P
Hoxc6	99980_at	84.8	A
C1qa	98562_at	9.3	A
Cpn1	103882_at	-340.2	A
Prl7a2	97946_at	137.9	P
Strada	103405_at	432.9	A
Ly6d	160553_at	88.7	A
Zwint	99087_at	4126.5	P
Dhh	99861_at	659.1	A
Zfp106	95533_at	332.8	P
Slc6a1	161059_at	-118.1	A
Camk2a	93659_at	-321.4	A
Eea1	102645_at	457.2	P
Sstr2	98351_g_at	319	M
Igk-V32	101329_f_at	71	A
Cryab	93279_at	24.9	A
Rora	101889_s_at	105.2	A
Tchh	161539_f_at	-37.3	A
Cdc26	94084_at	1809.8	P
1810013L24Rik	93685_at	36.1	A
Ccdc90a	103361_at	105.1	A
Kif3a	161275_at	114.5	P
Slc15a2	103918_at	-42.4	A
Rnd2	104432_at	-72.5	A
Tuba3a	160420_r_at	82.9	A
Cdc123	98075_at	3588.5	P
Fdxr	162122_f_at	195.9	A
Atox1	101984_at	11312.1	P
Tm4sf1	161315_i_at	-28.3	A
Epb4.2	102908_at	58	A
Itpkb	104395_at	435	A
Chrnb1	93705_at	-174.9	A
Rab11b	98150_at	3309.5	P
Ranbp10	99523_at	1320.9	P
2510039O18Rik	96325_at	801.6	P
Casp9	100366_at	357.4	M
Gja4	104729_at	-653.3	A
Fam53a	160716_at	1114.4	P
AA408650	161105_at	-376.4	A
Unc119b	104434_at	2468.9	P
Ssbp4	100974_at	525.5	P
Slc25a1	94807_at	2183.3	P
Dlg1	160849_at	3126.9	P
Mdfi	100432_f_at	1057.9	A
Nrbp1	94059_at	1479	P
Kpna4	100320_at	162.3	A
Wiz	103807_at	532.6	P
Ckap4	101956_at	1709.1	P
Lhx8	94754_at	53.7	A
Cdc5l	95610_at	739.2	P
Fgf9	100346_at	61.7	A
Ube2a	96695_at	864.9	P
Eif2s3x	94252_at	9724.2	P
Mapre1	99367_at	182.8	P
Rpp14	160474_at	134.7	P
Mas1	99439_at	516.1	P
Gabrb3	99897_at	8.6	A
Mark3	161744_f_at	115.3	A
Yes1	100015_at	684.1	A
Mpp1	97803_at	5756	P
Acvr2a	103500_at	287.5	P
1110035H17Rik	101677_at	270.8	M
Maz	160355_at	336.6	A
Dnajb11	98572_at	1781.9	P
AA517631	95925_at	-53.5	A
Nipsnap1	93251_at	109	A
Cyp2b10	102701_at	-20	A
Stx1b	101643_at	-166.6	A
Psme1	161293_r_at	63.5	A
Eps15	104006_at	211.8	P
Gata6	93925_at	-54.5	A
Sh3rf1	161061_r_at	162.6	A
Cct6b	92419_at	2.8	A
LOC672291	102155_f_at	121.3	A
Atp2a2	99570_s_at	-16.8	A
Mxi1	160138_at	1128.1	P
Adrm1	97875_at	2172.8	P
Csnk2a1	103441_at	529.6	P
Ptprz1	92379_f_at	28	A
B4galnt2	96548_at	44.3	A
Pcsk5	92194_at	393.6	M
Jun	100130_at	736.3	P
Ube2o	161396_f_at	220.6	A
Rhd	103340_at	194.1	A
Trim46	93716_at	319	A
BC053393	103472_at	-9.8	A
Serinc3	100151_at	5922.1	P
Ccr5	102718_at	-90.2	A
Zkscan14	104010_at	277.7	P
Gnao1	104414_at	1319.3	P
Diap1	104681_at	1081.8	P
Vldlr	96534_at	53.6	A
Rer1	160518_at	2276	P
Hlx	102657_at	414.1	A
Psmd11	94796_at	5031.5	P
Matn2	161776_at	61.6	A
Srebf1	93264_at	3002.2	P
Adcy7	103392_at	684.6	P
Fbn2	103623_at	-65.2	A
Cox5b	93119_at	10039.3	P
Sms	96995_at	58.3	A
Afp	101494_at	118	A
Cpox	98505_i_at	1496.7	P
Antxr2	104761_at	360	P
Sipa1	97963_at	234.2	M
Afm	94563_at	33.1	A
Cd4	103480_at	186.6	A
Il9r	95275_at	-406	A
Kdm5b	103310_at	25.6	A
Chrm1	101829_at	133.6	A
Csrp3	103084_at	9.5	A
Vdr	99965_at	543.6	P
Trfr2	160674_at	-80.7	A
Hsd11b1	97867_at	269.3	P
Cdt1	161787_f_at	970.6	P
C1qbp	96857_at	76.2	A
Stxbp3a	92648_at	1062.5	P
Reck	103804_at	150.9	P
Fbxw11	93634_at	1354.8	P
Lig1	162004_i_at	102.9	A
Galnt10	102352_at	1773	P
Mfsd5	104128_at	2912.5	P
Ifna9	102148_f_at	-70.2	A
Syngr2	93586_at	2668.8	P
Tead4	102866_at	1674.1	P
Sox3	103302_r_at	289.9	A
Ins2	100150_f_at	-115	A
Gm900	99850_at	68.5	A
Golga7	93256_at	2788.5	P
Snai2	99552_at	6760.9	P
Trim21	92942_at	885.1	P
C78513	97693_at	31.9	A
Lsm3	94455_at	2860.7	P
Tcfcp2	94135_at	551	P
Slbp	160471_at	1946.2	P
Whsc2	160616_at	2343.7	P
Cenpv	162491_f_at	104.8	A
C2cd3	102357_at	-142.9	A
Srrm2	101203_r_at	109.2	A
Vcp	161550_r_at	621.4	P
Tiam2	160796_at	-92.1	A
Sgcg	101394_at	21.5	A
Josd1	161729_f_at	26.3	A
Foxg1	161049_at	92.3	A
Ciao1	100072_at	1514.4	P
Gabrg3	100693_at	152.6	A
Tcl1b1	96694_at	79.3	A
Dnajc19	94925_at	763.9	P
Bcan	161996_f_at	-110	A
H2-Ke2	95158_at	3027.3	P
Zfp777	104353_at	85.7	A
Pafah2	161565_r_at	113.1	P
Rbbp6	99364_at	92.4	P
St8sia3	99504_at	151.8	M
Gal	100407_at	690	A
Ikzf1	102293_at	-198.7	A
Ung	102792_at	1044	P
Ccna2	99186_at	6284.9	P
Dpysl2	98298_at	375.5	A
Lamb1	162263_f_at	537	P
Traf5	103255_at	104.1	A
Axin1	160701_at	873.7	P
Nub1	100570_at	565.9	P
Ing1	94396_at	2848.2	P
Limk1	102889_r_at	-1743.2	A
Npepl1	160732_at	2107.1	P
Fbxo15	96162_at	46.5	A
Tceb1	94010_g_at	407.4	P
Cpxm2	102227_g_at	-32.3	A
Ccs	162351_f_at	416.1	M
Mtmr10	93235_at	599.8	P
Prkdc	93476_at	75.9	A
Gad2	92899_at	52.2	A
Rps10	99093_at	45320.4	P
Hfe	104014_at	-40.6	A
Actc1	101028_i_at	-99.4	A
Pacrg	160634_at	-28.6	A
Eif2b1	94462_at	1295.5	P
Eif4g3	96850_at	895.2	P
Krr1	160427_at	1322.8	P
Csn1s2b	98814_at	82	A
Bcl2l10	96044_at	168.7	A
Memo1	98959_at	3394.8	P
Shh	101831_at	-89.1	A
Ruvbl1	160874_r_at	332.3	A
Spag5	92412_s_at	391.8	P
Nr5a1	161418_r_at	69.7	A
Cadm1	93606_s_at	9.5	A
Glrx3	95696_at	5260.7	P
Srpx	162156_f_at	2.3	A
Inha	102266_at	-678.3	A
Dda1	97404_at	1198.3	P
Prcc	97686_r_at	170.7	A
Bcl2l11	99418_at	1341.2	P
Snap47	96086_at	2636.4	P
Pigf	101466_at	641.5	P
Dyrk1a	104079_at	705.1	P
Psmd9	97929_r_at	1537.4	P
Mgat1	161492_i_at	917.7	P
Thoc3	99490_at	693.6	P
Csnk2a2	94482_at	2302.6	P
Ap3s2	94388_at	763	P
Psmd7	103350_at	7642.9	P
Imp3	92817_at	3993.1	P
Auh	96650_at	860.5	P
Dffa	160866_at	227.7	A
Cdkn3	94971_at	2616	P
Hsd3b3	98401_at	-49.9	A
Slc8a1	99525_at	260.2	P
Clip4	160975_at	518.9	P
Gpsm3	94441_at	252.8	A
Agtrap	95355_at	519.7	P
Hira	103009_at	-143.8	P
Cmbl	96122_at	189.4	A
Zbtb2	161056_at	146.5	A
Wdr26	104611_at	413	P
Mgmt	102285_at	143.8	A
Sec14l2	96758_s_at	400.2	A
Accn1	99910_at	473.6	A
Cyp3a25	104024_at	107	A
Kcna3	92392_at	-65.3	A
Amz2	161429_at	383.9	A
Serpini1	99494_at	64.6	A
Bmp4	93455_s_at	3201.3	P
2310014L17Rik	103770_at	-16.2	P
Col19a1	99842_at	73.3	A
2310004N24Rik	99157_at	243.9	P
Hoxd8	160460_at	276	A
Pla2g7	101923_at	298.8	P
Marco	102974_at	-83.8	A
Gps1	96943_at	9181.1	P
S100a13	100959_at	9945.5	P
Neurod1	92717_at	77.4	M
Capn10	161307_f_at	63.1	A
Bmi1	101475_at	3898.4	P
