GENE_SYMBOL	ID_REF	VALUE	ABS_CALL
Matr3	96011_at	934.5	P
Gltp	104524_at	3199.4	P
Cops5	95460_at	2178.4	P
Nfia	92894_s_at	72.2	A
Akap1	97367_at	458.1	A
Grb10	93691_s_at	-59.8	A
Sfn	96704_at	184.7	A
Adam2	92732_at	-43.3	A
Gpr65	96553_at	-54.5	M
Commd5	94945_at	180	A
Dspp	94721_at	41.5	A
Gstk1	96670_at	41.8	A
Nubp1	94528_at	2127	P
Ptpn11	102874_at	4.9	A
Mvp	162447_f_at	739	P
Snx27	95980_at	235.4	A
Mst1	100286_at	-23.9	A
Tac2	103548_at	-101.9	A
Kcnu1	99410_at	-131.4	A
Slc17a1	96078_g_at	85.1	A
Gga1	98445_at	893.4	P
Gab1	160714_at	928	P
Ngef	93178_at	-199.6	A
Naip1	93461_at	86.4	A
Psd	103439_at	1132.3	A
Sf3b3	160208_at	2731.5	P
Yap1	160520_at	2787	P
Ndufa7	95652_at	12946.8	P
Fkbp10	99082_at	76.6	A
Hmgcs2	92590_at	-72.5	A
Clpx	94961_at	12.5	A
2610002J02Rik	102057_r_at	-124.3	A
Ndufa2	96280_at	5259.7	P
Usp12	160946_at	163.4	P
Pex13	94491_at	321.1	P
Thbs1	160469_at	8726.4	P
9530068E07Rik	99624_at	7189.1	P
Gsbs	98293_g_at	-2.1	A
Med11	160596_at	394.4	P
Marveld1	98036_at	2236	P
Cad	161323_f_at	18.5	A
Alas2	92768_s_at	-119.2	A
Mrfap1	160457_at	12223.3	P
Clcn5	161451_r_at	422.2	A
Gabra6	92940_s_at	-72.9	A
Hspa4	100352_at	476.4	A
Cd99	101047_at	13044.1	P
Efna1	103007_at	169.8	A
Rfng	101858_at	1872.8	P
Chordc1	160330_at	2565.9	P
Sepx1	160275_at	2287.7	P
Brd4	104352_at	1717.9	P
Zfp91	96157_at	3788.3	P
Klk1b8	104496_i_at	-142.7	A
Ap1b1	161249_at	133.6	A
Foxd4	101648_at	-43	A
Tmem30b	96748_i_at	135.6	P
Pip5k1b	103573_at	171.9	M
Gas8	93937_at	456.6	P
Pigs	99168_at	2391	P
Atp6v1g1	96281_at	9089.8	P
Hus1	92505_g_at	71.4	A
Ssbp4	100975_f_at	-505.9	A
Hes2	101724_at	111.9	A
Slc30a3	102683_at	1551.6	A
Mapk9	101362_at	432.7	P
Eomes	103532_at	-205.4	A
Sf3b2	162091_f_at	1826.2	P
Maf	92354_at	-383.3	A
Qrsl1	161071_at	374.2	P
Rorc	99951_at	104.9	A
Poldip3	162185_i_at	-119.1	A
Ppm1b	101836_at	15.1	A
Saa4	92242_at	-233.7	A
Chrnb2	97010_at	399.2	A
Pzp	97216_at	273.3	A
Rap2b	104020_at	1107.7	P
Tmeff1	160472_r_at	254.7	P
Asns	95133_at	6305.3	P
Calb2	95036_at	174.1	A
H2afj	104487_at	65.9	A
