"","GSM1387702","GSM1387703","GSM1387700","GSM1387701"
"TSSK3:1552395_at",NA,NA,NA,NA
"WFDC6:1552396_at",NA,NA,NA,NA
"CLEC12A:1552398_a_at",NA,NA,NA,NA
"BRF1:1552399_a_at",NA,NA,NA,NA
"TMEM266:1552400_a_at",2.51601514700366,3.79805051476751,4.24336442569366,3.45285896471381
"GRIK1-AS2///BACH1:1552401_a_at",1.28095631383106,3.99095486039699,1.49569516262407,3.57893871309339
"CALML6:1552402_at",NA,NA,NA,NA
"NLRP5:1552405_at",NA,NA,NA,NA
"ODF4:1552408_at",3.91934008244201,4.15461561132689,3.54720302475693,3.91838623444635
"ODF4:1552409_a_at",NA,NA,NA,NA
"CLEC4F:1552410_at",2.68706068833989,0.925999418556223,2.32192809488736,3.64270157183323
"DEFB106B///DEFB106A:1552411_at",NA,NA,NA,NA
"DEFB106B///DEFB106A:1552412_a_at",NA,NA,NA,NA
"WFDC9:1552414_at",2.34766565630097,3.46336088581666,5.09761079662642,3.23112515787905
"WFDC9:1552415_a_at",6.3911146756971,6.14628863717507,6.16932375323987,6.35790383855249
"NEDD1:1552417_a_at",NA,NA,NA,NA
"TTLL10:1552418_at",NA,NA,NA,NA
"TTLL10:1552419_s_at",1.92219784839637,1.76977173924945,2.4541758931858,2.75915583380027
"CALR3:1552421_a_at",NA,NA,NA,NA
"C10orf25:1552422_at",NA,NA,NA,NA
"ETV3:1552423_at",NA,NA,NA,NA
"KLHL10:1552424_at",1.40599235967584,2.30451104180995,0.505890929729957,1.65992455840238
"KLHL10:1552425_a_at",NA,NA,NA,NA
"TM2D3:1552426_a_at",NA,NA,NA,NA
"ZNF485:1552427_at",NA,NA,NA,NA
"WDR17:1552430_at",2.13750352374994,2.75488750216347,1.28095631383106,3.89141918684608
"MFSD6L:1552432_at",NA,NA,NA,NA
"LOC100653137///CDH23:1552436_a_at",NA,NA,NA,NA
"ANKAR:1552438_a_at",NA,NA,NA,NA
"MEGF11:1552439_s_at",NA,NA,NA,NA
"GPR182:1552440_at",4.93828579188405,5.122258567812,4.22265002245148,5.19888699095693
"ESX1:1552445_a_at",2.5033487351675,0.575312330687437,3.27798474729977,2.02147972741045
"FAM167A-AS1:1552448_a_at",NA,NA,NA,NA
"SCGB1C2///SCGB1C1:1552449_a_at",NA,NA,NA,NA
"DNAJC5G:1552450_a_at",5.80838505065609,5.68060566620259,5.6055535954944,5.79103261675567
"WDR88:1552452_at",NA,NA,NA,NA
"WDR88:1552453_a_at",NA,NA,NA,NA
"PRUNE2:1552455_at",3.46727948045998,1.99276843076892,3.71918344048179,4.268284666521
"MBD3L2:1552456_a_at",NA,NA,NA,NA
"ADAMTSL1:1552457_a_at",NA,NA,NA,NA
"MBD3L1:1552458_at",2.44360665147561,3.30888505741176,3.36176835941915,2.18269229751619
"MBD3L1:1552459_a_at",NA,NA,NA,NA
"FAM46D:1552461_at",3.83187724119167,1.02147972741045,2.58255600301406,3.49569516262407
"SERPINB11:1552463_at",5.25134038278862,5.48091134604775,5.30633516019798,5.48767927890162
"LINC00161:1552466_x_at",NA,NA,NA,NA
"DSCR10:1552467_at",NA,NA,NA,NA
"DSCR10:1552468_a_at",NA,NA,NA,NA
"ABHD11:1552470_a_at",NA,NA,NA,NA
"ACAP2:1552472_a_at",NA,NA,NA,NA
"GAMT:1552473_at",NA,NA,NA,NA
"GAMT:1552474_a_at",NA,NA,NA,NA
