"","GSM219114","GSM219115","GSM219116","GSM219117"
"Copg1:1415670_at",9.06625336842449,9.3710491248668,10.0657392406388,9.05453648867267
"Atp6v0d1:1415671_at",9.08393666229646,9.13477283346259,10.0755058905755,9.25980916016485
"Golga7:1415672_at",10.0943284525846,10.0279889076955,10.3219055526012,9.76533748941569
"Psph:1415673_at",6.43013637863113,6.33194700671311,6.60409356900066,6.40447911834953
"Trappc4:1415674_a_at",8.25397981458137,8.14576405505299,8.60549433385251,8.16353395389983
"Dpm2:1415675_at",8.49663810581576,8.29679234539039,8.2107005626298,8.20984323052549
"Psmb5:1415676_a_at",10.4986497877684,10.9794609228495,10.8690154155521,10.6229029049083
"Dhrs1:1415677_at",10.3366292896668,9.76131519620619,11.7570399195694,10.3706002322677
"Ppm1a:1415678_at",9.95343840558063,10.0460326147542,10.8150389934298,9.80606139131203
"Psenen:1415679_at",11.0058280278214,10.9474396952736,11.346990120608,11.1255361653812
"Anapc1:1415680_at",8.03250863788483,8.80438274466488,8.90788511120251,8.75251780060521
"Mrpl43:1415681_at",8.66779989649782,8.9208321852761,9.41470637404123,9.07093935785586
"Xpo7:1415682_at",7.04356323754294,6.49800028921766,6.83172526390612,6.49927188316909
"Nmt1:1415683_at",9.80154993664549,10.7348366124394,10.8301190254445,9.99815318317708
"Atg5:1415684_at",8.05092064505327,7.44285228810679,7.93897968082184,6.9002026532284
"Mtif2:1415685_at",8.32480610399031,7.83274447179761,8.0571957201979,7.22822225327346
"Rab14:1415686_at",8.69473048453292,8.83739771428354,9.16937136119023,8.79729513205208
"Psap:1415687_a_at",10.1892562622742,10.5670814497198,10.5497365452293,10.4548339068989
"Ube2g1:1415688_at",8.87136932396763,9.40490950679207,9.99421198923475,8.56962399922105
"Zkscan3:1415689_s_at",9.05616893240151,9.72047000914261,9.81900709483373,9.11533242044723
"Mrpl27:1415690_at",9.99101156899317,10.0209799389042,10.1195636844174,10.6161260813848
"Dlg1:1415691_at",9.321786072604,9.84409372480116,10.2110730510302,9.82061617319655
"Canx:1415692_s_at",12.158294103604,12.3165276175582,12.5636991730771,12.225713556942
"Derl1:1415693_at",9.30345427866081,8.62144751859331,9.18434724962809,8.99201494242182
"Wars:1415694_at",8.22779401321335,8.09527569415914,8.44421979915581,8.26917811954659
"Psma1:1415695_at",10.8427117576823,10.7450019739767,10.8074676282051,9.74564575550064
"Sar1a:1415696_at",9.68520081603567,9.65686278972356,10.0802312720193,10.2635626398206
"G3bp2:1415697_at",8.74235996742464,8.83179808835319,9.45735420025469,8.81024707217956
"Golm1:1415698_at",9.25265597212388,10.0383291740009,10.2337275153818,9.90372371287457
"Gps1:1415699_a_at",9.09581104586781,9.63986884639334,9.34056671958421,8.96332672572608
"Ssr3:1415700_a_at",10.4951654856899,10.8594416060835,11.2488585580253,10.7861470832277
