gene.symbol,log.expect
BAD,-1.2
C4orf43,-1.2
CPNE7,-1.2
DLGAP1,-1.2
FBXO3,-1.2
FZD7,-1.2
GABBR1,-1.2
GPBP1,-1.2
HECW1,-1.2
LOC646670,-1.2
LOC647138,-1.2
LOC727761,-1.2
MAGEB18,-1.2
MAX,-1.2
PELP1,-1.2
PHPT1,-1.2
PIGR,-1.2
RBM47,-1.2
RCBTB1,-1.2
RFFL,-1.2
SFT2D2,-1.2
SLC22A7,-1.2
SLC47A1,-1.2
SPAM1,-1.2
TFB2M,-1.2
TM9SF1,-1.2
TUBGCP5,-1.2
TYW3,-1.2
ZCCHC14,-1.2
ASB8,-1.1
B3GALT6,-1.1
CHRDL2,-1.1
CHRNA7,-1.1
DEFB123,-1.1
ERBB2IP,-1.1
EXOC6B,-1.1
FAM40A,-1.1
ITGAD,-1.1
JPH2,-1.1
KIAA0894,-1.1
LOC100129473,-1.1
LOC100130533,-1.1
LOC100131310,-1.1
LOC646836,-1.1
LOC732445,-1.1
MAPKBP1,-1.1
MOSPD3,-1.1
NEFH,-1.1
NMBR,-1.1
OR51E2,-1.1
PALMD,-1.1
PDGFD,-1.1
PF4V1,-1.1
PLA2G3,-1.1
PTOV1,-1.1
RPL23A_31_1517,-1.1
SERPINB6,-1.1
SMYD3,-1.1
STX10,-1.1
TSP50,-1.1
TTC30A,-1.1
U2AF2,-1.1
UBE3C,-1.1
UBQLNL,-1.1
VWA5A,-1.1
WNK3,-1.1
ZMIZ1,-1.1
ZNF24,-1.1
ZNF256,-1.1
ASB11,-1.0
HDAC5,-1.0
HDLBP,-1.0
KIAA1881,-1.0
KLHL1,-1.0
LOC643699,-1.0
LOC652614,-1.0
LOC728047,-1.0
LOC728080,-1.0
PANX2,-1.0
PRKCE,-1.0
